date,region,channel,product_category,revenue,orders,refund_amount
2026-04-01,North,Online,Electronics,12450.50,132,210.25
2026-04-01,South,Retail,Home,8930.00,97,120.00
2026-04-01,West,Partner,Fashion,6450.75,84,95.50
2026-04-02,North,Online,Electronics,13110.00,140,180.00
2026-04-02,South,Retail,Home,9055.25,101,140.00
2026-04-02,West,Partner,Fashion,6725.40,88,110.25
2026-04-03,North,Online,Electronics,11980.20,126,260.00
2026-04-03,South,Retail,Home,9210.10,99,90.00
2026-04-03,West,Partner,Fashion,6880.00,92,100.00
2026-04-04,North,Online,Electronics,14220.00,149,175.00
2026-04-04,South,Retail,Home,9540.60,103,130.00
2026-04-04,West,Partner,Fashion,7015.10,95,85.00
2026-04-05,North,Online,Electronics,13875.45,145,220.00
2026-04-05,South,Retail,Home,9488.00,104,145.00
2026-04-05,West,Partner,Fashion,7199.99,96,92.75
2026-04-06,North,Online,Electronics,14650.25,153,205.00
2026-04-06,South,Retail,Home,9725.30,108,135.00
2026-04-06,West,Partner,Fashion,7340.20,99,88.00
2026-04-07,North,Online,Electronics,15010.80,158,240.00
2026-04-07,South,Retail,Home,9890.75,110,155.00
2026-04-07,West,Partner,Fashion,7488.60,102,97.40
2026-04-08,North,Online,Electronics,15320.90,161,215.00
2026-04-08,South,Retail,Home,10055.00,113,142.50
2026-04-08,West,Partner,Fashion,7599.30,104,89.25
2026-04-09,North,Online,Electronics,14980.60,156,198.00
2026-04-09,South,Retail,Home,10110.20,114,160.00
2026-04-09,West,Partner,Fashion,7715.45,106,93.10
2026-04-10,North,Online,Electronics,15740.00,165,225.00
2026-04-10,South,Retail,Home,10285.80,116,148.75
2026-04-10,West,Partner,Fashion,7822.90,108,86.50
